ID,Random,Pop,ItemKNN,BPR,ENMF,DMF,NNCF,MultiDAE,MultiVAE,NCEPLRec,RecVAE,CDAE,LINE,SGL,DiffRec,RaCT,SimpleX
Subscription_Boxes,0.0175,0.1608,0.1661,0.0629,0.1416,0.25,0.25,0.2168,0.2517,0.0385,0.2413,0.007,0.0297,0.0752,0.2185,0.2115,0.0227
Magazine_Subscriptions,0.0031,0.1052,0.069,0.0391,0.0697,0.1471,0.15,0.1528,0.1519,0.0142,0.1875,0.1569,0.0445,0.1339,0.1418,0.1956,0.0128
Digital_Music,0.0003,0.0046,0.0094,0.0077,0.0043,0.0033,0.0083,0.0141,0.0155,0.0111,0.0147,0.0071,0.0081,0.0176,0.0134,0.016,0.0129
Gift_Cards,0.0085,0.3285,0.1286,0.1539,0.2039,0.462,0.4564,0.4821,0.4755,0.008,0.4015,0.4628,0.1746,0.3485,0.4398,0.4794,0.1811
Health_and_Personal_Care,0.0001,0.0364,0.0069,0.0098,0.0207,0.0145,0.0061,0.0069,0.0163,0.005,0.0046,0.0363,0.0074,0.0144,0.0212,0.026,0.0016
Handmade_Products,0.0001,0.0085,0.0086,0.003,0.0054,0.0035,0.0017,0.0064,0.0103,0.0044,0.0098,0.008,0.0035,0.0071,0.0059,0.0147,0.0076
All_Beauty,0.0002,0.0131,0.004,0.0043,0.008,0.0079,0.0022,0.0056,0.0054,0.0032,0.0045,0.0119,0.0052,0.0063,0.0067,0.0129,0.0044
ml-100k,0.0061,0.085,0.247,0.2466,0.04,0.2313,0.2262,0.2463,0.255,0.1439,0.2513,0.1039,0.2157,0.2487,0.2708,0.2577,0.2324
ml-1m,0.0028,0.0707,0.1634,0.1635,0.0092,0.1536,0.1469,0.1801,0.1637,0.1801,0.1954,0.1292,0.1499,0.1747,0.202,0.1786,0.1575
epinions,0.0003,0.0073,0.0029,0.0094,0.0086,0.0056,0.0093,0.0108,0.0113,0.0086,0.0109,0.0091,0.008,0.0136,0.0089,0.0125,0.0086
ModCloth,0.0066,0.0736,0.1321,0.1007,0.1089,0.1551,0.151,0.2107,0.2176,0.0235,0.2253,0.1641,0.0916,0.1768,0.1886,0.219,0.1621
